State ,Tribe Name                                                                            ,Casino Name                                       ,Address                                     ,Game Class Type                    ,Work Phone                            ,Work Fax                              ,Email Address
FL    ,Miccosukee Tribe of Indians of Florida                                                ,Miccosukee Resort & Gaming                        ,P.O. Box 440021 Tamiami Station             ,Miami FL 33144                     ,Class II                              ,                                      ,305-226-9254                          ,BeverlyT@miccosukeetribe.com; MarlaP@miccosukeetribe.com; PeytonW@miccosukeetribe.com
FL    ,Seminole Tribe of Florida                                                             ,Seminole Hard Rock Hotel & Casino - Tampa         ,6300 Stirling Road                          ,Hollywood FL 33024                 ,Class II & III                        ,813-627-7808                          ,813-623-6862                          ,marcellusosceola@semtribe.com
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Brighton                 ,6300 Stirling Road                          ,Hollywood FL 33024                 ,Class II & III                        ,863-467-9998                          ,863-467-1197                          ,mjohns@semtribe.com
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Coconut Creek            ,6300 Stirling Road                          ,Hollywood FL 33024                 ,Class II & III                        ,954-977-6700                          ,954-970-7721                          ,larry.buck@stofgaming.com
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Hollywood                ,6300 Stirling Road                          ,Hollywood FL 33024                 ,Class II & III                        ,954-961-3220                          ,954-894-1125                          ,Edward.Aguilar@stofgaming.com
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Immokalee                ,6300 Stirling Road                          ,Hollywood FL 33024                 ,Class II & III                        ,239-658-1313                          ,239-658-1515                          ,antonio.alves@stofgaming.com
FL    ,Seminole Tribe of Florida                                                             ,Seminole Hard Rock Hotel & Casino - Hollywood     ,6300 Stirling Road                          ,Hollywood FL 33024                 ,Class II & III                        ,954-327-7505                          ,954-797-2373                          ,auggie.cipollini@seminolehardrock.com
IA    ,Omaha Tribe of Nebraska                                                               ,Blackbird Bend Casino                             ,P.O. Box 368                                ,Macy NE 68039                      ,Class III                             ,712-423-9646                          ,                                      ,leander.merrick@theomahatribe.com
IA    ,Sac & Fox Tribe of the Mississippi in Iowa                                            ,Meskwaki Bingo                                    ,Casino                                      ,Hotel                              ,349 Meskwaki Road                     ,Tama IA 52339                         ,Class II & III                        ,641-484-1474                                                                          ,641-484-1618                               ,vern.jefferson@meskwaki-nsn.gov
IA    ,Winnebago Tribe of Nebraska                                                           ,WinnaVegas Casino                                 ,100 Bluff Street P.O. Box 687               ,Winnebago NE 68071                 ,Class II & III                        ,                                      ,ray.thomas@winnevegas.biz
ID    ,Coeur d'Alene Tribe                                                                   ,Coeur d'Alene Casino Resort/Hotel                 ,PO Box 408 850 A Street                     ,Plummer ID 83851                   ,Class II & III                        ,208-769-2600                          ,208-665-6936                          ,fsijohn@cdacasino.com
ID    ,Kootenai Tribe of Idaho                                                               ,Kootenai River Inn Casino and Spa                 ,PO Box 1269 100 Circle Dr                   ,Bonners Ferry ID 83805             ,Class II & III                        ,208-267-8511                          ,208-267-3744                          ,tom@kootenairiverinn.com
ID    ,Nez Perce Tribe                                                                       ,Clearwater River Casino & Lodge                   ,PO Box 305 100 Agency Rd                    ,Lapwai ID 83540                    ,Class II & III                        ,208-746-0723                          ,208-746-5715                          ,dank@crcasino.com
ID    ,Nez Perce Tribe                                                                       ,It'Se Ye-Ye Casino                                ,PO Box 305 100 Agency Rd                    ,Lapwai ID 83540                    ,Class III                             ,208-935-7860                          ,208-935-7943                          ,dank@crcasino.com
ID    ,Shoshone-Bannock Tribes                                                               ,Bannock Peak Casino                               ,PO Box 306 Agency Bldg 82                   ,1 Pima Drive                       ,Fort Hall ID 83203                    ,Class II & III                        ,208-233-8774                          ,208-637-6656                                                                          ,rbarlow@shobangaming.com
ID    ,Shoshone-Bannock Tribes                                                               ,Shoshone-Bannock Casino                           ,PO Box 306 Agency Bldg 82                   ,1 Pima Drive                       ,Fort Hall ID 83203                    ,Class II & III                        ,208-237-8774                          ,208-637-6656                                                                          ,rbarlow@shobangaming.com
ID    ,Shoshone-Bannock Tribes                                                               ,Sage Hill Travel Center & Casino                  ,PO Box 306 Agency Bldg 82                   ,1 Pima Drive                       ,Fort Hall ID 83203                    ,Class III                             ,208-237-8774                          ,208-637-6656                                                                          ,rbarlow@shobangaming.com
IN    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino South Bend                      ,PO Box 180 58620 Sink Rd.                   ,Dowagiac MI 49047                  ,Class II & III                        ,                                      ,574-931-3205                          ,sjrice@fourwindscasino.com
KS    ,Iowa Tribe of Kansas and Nebraska                                                     ,Casino White Cloud                                ,3345 B Thrasher Rd.                         ,White Cloud KS 66094               ,Class II & III                        ,785-595-3430                          ,785-595-3431                          ,trhodd@iowas.org
KS    ,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas                       ,Golden Eagle Casino                               ,824 111th Dr.                               ,Horton KS 66439                    ,Class III                             ,785-486-6601                          ,785-486-2800                          ,kickapooexecutivesecretary@ktik-nsn.gov
KS    ,Prairie Band of Potawatomi Nation                                                     ,Prairie Band Casino & Resort                      ,16281 Q Road                                ,Mayetta KS 66509                   ,Class III                             ,785-966-7777                          ,785-966-7206                          ,josephr@pbpnation.org
LA    ,Chitimacha Tribe of Louisiana                                                         ,Cypress Bayou Casino                              ,155 Chitimacha Loop                         ,Charenton LA 70523                 ,Class II & III                        ,800-284-4386                          ,337-924-3321                          ,melissad@chitimacha.gov
LA    ,Coushatta Tribe of Louisiana                                                          ,Coushatta Casino Resort                           ,1940 C. C. Bel Road                         ,Elton LA 70532                     ,Class II & III                        ,337-738-7317                          ,337-738-7253                          ,jcernek@coushatta.org
LA    ,Jena Band of Choctaw Indians                                                          ,Miko's Gaming                                     ,P.O. Box 14                                 ,Jena LA 71342                      ,Class II & III                        ,318-992-0998                          ,                                      ,lrogers@jenachoctaw.org
LA    ,Jena Band of Choctaw Indians                                                          ,Choctaw Pines Casino                              ,                                            ,Class II                           ,318-648-7773                          ,318-640-0076                          ,graynor@choctawpines.com
LA    ,Tunica-Biloxi Indian Tribe of Louisiana                                               ,Paragon Casino & Resort                           ,150 Melacon Drive                           ,Marksville LA 71351                ,Class II & III                        ,800-946-1946                          ,318-253-2033                          ,mpierite@tunica.org
MI    ,Bay Mills Indian Community                                                            ,Bay Mills Resort & Casino                         ,12140 W. Lakeshore Drive                    ,Brimley MI 49715                   ,Class II & III                        ,906-248-3715                          ,906-248-3755                          ,wgravelle@baymills.org
MI    ,Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Michigan                                          ,Turtle Creek Casino                         ,2605 N. West Bay Shore Dr.         ,Peshawbestown MI 49682                ,Class II & III                        ,231-534-8888                          ,231-534-8889                                                                          ,David.Arroyo@gtbindians.com
MI    ,Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Michigan                                          ,Leelanau Sands Casino                       ,                                   ,Class II & III                        ,231-534-8100                          ,231-534-8101                          ,jesse.ward@gtbindians.com
MI    ,Hannahville Indian Community                                                          ,Island Resort & Casino                            ,N. 14911 Hannahville B1 Road                ,Wilson MI 49896                    ,Class II & III                        ,800-682-6040                          ,906-466-2945                          ,tyderyien@hannahville.org
MI    ,Keweenaw Bay Indian Community                                                         ,Ojibwa Casino II                                  ,KBIC Tribal Center                          ,16429 Bear Town Rd.                ,Baraga MI 49908                       ,Class II & III                        ,906-353-6333                          ,906-353-6833                                                                          ,doreen@kbic-nsn.gov
MI    ,Keweenaw Bay Indian Community                                                         ,Ojibwa Casino and Resort - Marquette              ,                                            ,Class II & III                     ,906-249-4200                          ,906-249-3032                          ,doreen@kbic-nsn.gov
MI    ,Lac Vieux Desert Tribe                                                                ,LVD Clubhouse Bar                                 ,E23968 Choate Road                          ,Watersmeet MI 49969                ,Class II & III                        ,906-358-0480                          ,906-358-0288                          ,jim.williams@lvd-nsn.gov
MI    ,Lac Vieux Desert Tribe                                                                ,Lac Vieux Desert Casino and Bingo                 ,                                            ,Class II & III                     ,906-358-0480                          ,906-358-0288                          ,Michael.Broderick@lvd-nsn.gov
MI    ,Little River Band of Ottawa Indians                                                   ,Little River Casino                               ,375 River St.                               ,Manistee MI 49660                  ,Class II & III                        ,231-723-1535                          ,                                      ,larryromanelli@lrboi-nsn.gov
MI    ,Little Traverse Bay Band of Odawa Indians                                             ,Odawa Casino Mackinaw City                        ,7500 Odawa Circle                           ,Harbor Springs MI 49740            ,Class II & III                        ,                                      ,                                      ,                                                                                      ,chairman@ltbbodawa-nsn.gov
MI    ,Little Traverse Bay Band of Odawa Indians                                             ,Odawa Casino Resort                               ,                                            ,Class II & III                     ,                                      ,231-439-6100                          ,rolson@odawacasino.com
MI    ,Match-E-Be-Nash-She-Wish Band of Potawatomi Indians                                   ,Gun Lake Casino                                   ,2872 Mission Drive                          ,Shelbyville MI 49344               ,Class II & III                        ,269-792-7625                          ,269-792-7509                          ,Bob.Peters@glt-nsn.gov
MI    ,Nottawaseppi Huron Band of Potawatomi                                                 ,Michigan                                          ,Firekeepers                                 ,1485 Mno-Madzawen Way              ,Fulton MI 49052                       ,Class II & III                        ,269-660-5475                          ,                                                                                      ,jstuck@nhbpi.com
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Dowagiac                        ,58620 Sink Rd.                              ,Dowagiac MI 49047                  ,Class II & III                        ,866-494-6371                          ,                                      ,rebecca.richards@pokagonband-nsn.gov
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Hartford                               ,                                            ,Class II & III                     ,866-494-3371                          ,                                      ,ffreedman@fourwindscasino.com
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Resort                          ,                                            ,Class II & III                     ,866-494-6371                          ,                                      ,ffreedman@fourwindscasino.com
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Soaring Eagle Casino & Resort                     ,7070 E. Broadway Rd.                        ,Mt. Pleasant MI 48858              ,Class II & III                        ,989-775-5700                          ,                                      ,ThJackson@sagchip.org
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Soaring Eagle-Slot Palace and Bingo Hall          ,                                            ,Class II & III                     ,989-775-5700                          ,517-772-3508                          ,melcoffin@sagchip.org
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Saganing Eagle's Landing Casino                   ,                                            ,Class III                          ,                                      ,                                      ,melcoffin@sagchip.org
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,Hessel                                      ,523 Ashmun Street                  ,Sault Ste. Marie MI 49783             ,Class II & III                        ,906-484-2903                          ,906-484-2166                                                                          ,tlaplaunt@saulttribe.net
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,Hotel & Convention Center                   ,                                   ,Class II & III                        ,800-539-2346                          ,906-635-4959                          ,
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,Manistique                                  ,                                   ,Class II & III                        ,906-341-5510                          ,906-635-4947                          ,
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,St. Ignace                                  ,                                   ,Class II & III                        ,906-643-7071                          ,                                      ,
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Christmas                          ,                                            ,Class III                          ,906-387-5475                          ,                                      ,
MN    ,Bois Forte Band of Minnesota Chippewa Tribe                                           ,Fortune Bay Casino                                ,5344 Lakeshore Drive                        ,Nett Lake MN 55772                 ,Class II & III                        ,218-753-7731                          ,218-753-6488                          ,cchavers@boisforte-nsn.gov
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Minnesota                                         ,Black Bear Casino                           ,1720 Big Lake Road                 ,Cloquet MN 55720                      ,Class II & III                        ,218-878-2327                          ,218-878-2414                                                                          ,kevindupuis@fdlrez.com
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Minnesota                                         ,Fond du Luth Casino                         ,                                   ,Class III                             ,218-722-0280                          ,218-720-5150                          ,mauriceojibway@fdlrez.com
MN    ,Grand Portage Band of Minnesota Chippewa Tribe                                        ,Minnesota                                         ,Grand Portage Casino                        ,                                   ,Class II & III                        ,800-543-1384                          ,                                      ,robertdeschampe@grandportage.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Big Winnie Bar                              ,190 Salistar Dr. NW                ,Cass Lake MN 56633                    ,Class III                             ,218-335-7523                          ,                                                                                      ,faron.jackson@llojibwe.net
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Cedar Lakes Casino & Hotel                  ,                                   ,Class II & III                        ,800-216-6329                          ,218-335-7527                          ,Richard.Jones@leechlakegaming.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Shingobee on the Bay                        ,                                   ,Class II & III                        ,218-547-6233                          ,218-335-7527                          ,john.lafond@leechlakegaming.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,White Oak Casino                            ,                                   ,Class III                             ,218-246-9600                          ,218-335-4326                          ,derek.jackson@leechlakegaming.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Northern Lights Casino                      ,                                   ,Class II & III                        ,800-252-7529                          ,218-335-3101                          ,
MN    ,Lower Sioux Indian Community in the State of Minnesota                                ,Jackpot Junction Casino Hotel                     ,39527 Res. Hwy 1                            ,Morton MN 56270                    ,Class II & III                        ,507-697-8027                          ,507-697-8024                          ,robert.larsen@lowersioux.com
MI    ,Match-E-Be-Nash-She-Wish Band of Potawatomi Indians                                   ,Gun Lake Casino                                   ,2872 Mission Drive                          ,Shelbyville MI 49344               ,Class II & III                        ,269-792-7625                          ,269-792-7509                          ,Bob.Peters@glt-nsn.gov
MI    ,Nottawaseppi Huron Band of Potawatomi                                                 ,Michigan                                          ,Firekeepers                                 ,1485 Mno-Madzawen Way              ,Fulton MI 49052                       ,Class II & III                        ,269-660-5475                          ,                                                                                      ,jstuck@nhbpi.com
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Dowagiac                        ,58620 Sink Rd.                              ,Dowagiac MI 49047                  ,Class II & III                        ,866-494-6371                          ,                                      ,rebecca.richards@pokagonband-nsn.gov
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Hartford                               ,                                            ,Class II & III                     ,866-494-3371                          ,                                      ,ffreedman@fourwindscasino.com
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Resort                          ,                                            ,Class II & III                     ,866-494-6371                          ,                                      ,ffreedman@fourwindscasino.com
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Soaring Eagle Casino & Resort                     ,7070 E. Broadway Rd.                        ,Mt. Pleasant MI 48858              ,Class II & III                        ,989-775-5700                          ,                                      ,ThJackson@sagchip.org
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Soaring Eagle-Slot Palace and Bingo Hall          ,                                            ,Class II & III                     ,989-775-5700                          ,517-772-3508                          ,melcoffin@sagchip.org
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Saganing Eagle's Landing Casino                   ,                                            ,Class III                          ,                                      ,                                      ,melcoffin@sagchip.org
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,Hessel                                      ,523 Ashmun Street                  ,Sault Ste. Marie MI 49783             ,Class II & III                        ,906-484-2903                          ,906-484-2166                                                                          ,tlaplaunt@saulttribe.net
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,Hotel & Convention Center                   ,                                   ,Class II & III                        ,800-539-2346                          ,906-635-4959                          ,
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,Manistique                                  ,                                   ,Class II & III                        ,906-341-5510                          ,906-635-4947                          ,
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino                                    ,St. Ignace                                  ,                                   ,Class II & III                        ,906-643-7071                          ,                                      ,
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Christmas                          ,                                            ,Class III                          ,906-387-5475                          ,                                      ,
MN    ,Bois Forte Band of Minnesota Chippewa Tribe                                           ,Fortune Bay Casino                                ,5344 Lakeshore Drive                        ,Nett Lake MN 55772                 ,Class II & III                        ,218-753-7731                          ,218-753-6488                          ,cchavers@boisforte-nsn.gov
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Minnesota                                         ,Black Bear Casino                           ,1720 Big Lake Road                 ,Cloquet MN 55720                      ,Class II & III                        ,218-878-2327                          ,218-878-2414                                                                          ,kevindupuis@fdlrez.com
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Minnesota                                         ,Fond du Luth Casino                         ,                                   ,Class III                             ,218-722-0280                          ,218-720-5150                          ,mauriceojibway@fdlrez.com
MN    ,Grand Portage Band of Minnesota Chippewa Tribe                                        ,Minnesota                                         ,Grand Portage Casino                        ,                                   ,Class II & III                        ,800-543-1384                          ,                                      ,robertdeschampe@grandportage.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Big Winnie Bar                              ,190 Salistar Dr. NW                ,Cass Lake MN 56633                    ,Class III                             ,218-335-7523                          ,                                                                                      ,faron.jackson@llojibwe.net
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Cedar Lakes Casino & Hotel                  ,                                   ,Class II & III                        ,800-216-6329                          ,218-335-7527                          ,Richard.Jones@leechlakegaming.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Shingobee on the Bay                        ,                                   ,Class II & III                        ,218-547-6233                          ,218-335-7527                          ,john.lafond@leechlakegaming.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,White Oak Casino                            ,                                   ,Class III                             ,218-246-9600                          ,218-335-4326                          ,derek.jackson@leechlakegaming.com
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Minnesota                                         ,Northern Lights Casino                      ,                                   ,Class II & III                        ,800-252-7529                          ,218-335-3101                          ,
MN    ,Lower Sioux Indian Community in the State of Minnesota                                ,Jackpot Junction Casino Hotel                     ,39527 Res. Hwy 1                            ,Morton MN 56270                    ,Class II & III                        ,507-697-8027                          ,507-697-8024                          ,robert.larsen@lowersioux.com
MN    ,Mille Lacs Band of Ojibwe                                                             ,Grand Casino Hinckley                             ,43408 Oodena Drive                          ,Onamia MN 56359                    ,Class II & III                        ,                                      ,                                      ,melanie.benjamin@millelacsband.com
MN    ,Mille Lacs Band of Ojibwe                                                             ,Grand Casino Mille Lacs                           ,                                            ,Class II & III                     ,                                      ,                                      ,                                      ,mtowel@grcasino.com
MN    ,Prairie Island Indian Community in the State of Minnesota                             ,Treasure Island Resort & Casino                   ,5636 Sturgeon Lake Road                     ,Welch MN 55089                     ,Class II & III                        ,651-388-6300                          ,651-385-2560                          ,johnny.johnson@piic.org
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Red Lake                     ,P.O. Box 550                                ,Red Lake MN 56671                  ,Class II & III                        ,218-679-2500                          ,218-679-2666                          ,dseki@redlakenation.org
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Thief River Falls            ,P.O. Box 550                                ,Red Lake MN 56671                  ,                                      ,218-681-4062                          ,218-681-1054                          ,
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Warroad                      ,P.O. Box 550                                ,Red Lake MN 56671                  ,                                      ,218-386-3381                          ,218-386-2969                          ,
MN    ,Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Mystic Lake Casino                                ,2330 Sioux Trail NW                         ,Prior Lake MN 55372                ,Class II & III                        ,952-445-9000                          ,952-496-7280                          ,Sara.dobesh@shakopeedakota.org
MN    ,Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Little Six Casino                                 ,2330 Sioux Trail NW                         ,Prior Lake MN 55372                ,                                      ,952-445-6000                          ,952-403-5535                          ,
MN    ,Upper Sioux Community                                                                 ,Prairie's Edge Casino Resort                      ,5722 Travers Lane                           ,Highway 67                         ,Granite Falls MN 56241                ,Class II & III                        ,320-564-2121                          ,320-564-4175                                                                          ,kevinj@uppersiouxcommunity-nsn.gov
MN    ,White Earth Nation                                                                    ,3 Bears Golf Course dba Berry's Liquor Store      ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,Class II & III                        ,218-983-3228                          ,218-935-5087                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,City of Callaway                                  ,d/b/a Callaway Liquor Store                 ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,                                      ,218-375-3133                          ,218-935-5087                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Cedar Crest Resort                                ,LLC                                         ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,                                      ,218-473-2116                          ,218-473-2739                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Rice Lake Community Center                        ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,                                      ,218-935-2711                          ,                                      ,SStevens@starcasino.com
MN    ,White Earth Nation                                                                    ,Boys and Girls Club of White Earth Reservation    ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,                                      ,218-935-2711                          ,                                      ,SStevens@starcasino.com
MN    ,White Earth Nation                                                                    ,City of Mahnomen                                  ,d/b/a Wild Rice Lounge                      ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,Class II                              ,                                      ,218-935-2573                                                                          ,218-935-5087                               ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Sundown Bar                                       ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,Class II                              ,                                      ,218-473-2002                          ,218-935-5087                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Shooting Star Casino-Mahnomen                     ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,Class II & III                        ,218-935-2711                          ,218-935-2206                          ,SStevens@starcasino.com
MN    ,White Earth Nation                                                                    ,Pappy's Cafe and Pizzeria                         ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,Class II                              ,                                      ,218-473-2700                          ,218-935-5087                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Pinehurst Resort and Lodge                        ,Inc.                                        ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,Class II                              ,                                      ,218-935-5745                                                                          ,218-935-5087                               ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Ogema Fire Department                             ,d/b/a Ogema Liquor Store                    ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,Class II                              ,                                      ,218-983-3285                                                                          ,218-935-5087                               ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,McArthur's Village Store                          ,Inc.                                        ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,Class II                              ,                                      ,218-935-5855                                                                          ,218-935-5087                               ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,M&W Service of White Earth                        ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,Class II                              ,                                      ,218-983-3790                          ,218-935-5087                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Backwoods ICL                                     ,LLC dba Ice Cracking Lodge                  ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,Class II                              ,218-573-3631                          ,218-935-5087                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Peachy's Pub ALB Food & Beverage LLC              ,35500 Eagleview Rd                          ,Ogema MN 56569                     ,Class II                              ,218-935-5116                          ,218-935-5087                          ,christie.haverkamp@whiteearth-nsn.gov
MN    ,White Earth Nation                                                                    ,Big Elbow Lake Lodge & Campground                 ,LLP                                         ,35500 Eagleview Rd                 ,Ogema MN 56569                        ,Class II                              ,218-734-2504                          ,218-935-5087                                                                          ,christie.haverkamp@whiteearth-nsn.gov
MS    ,Mississippi Band of Choctaw Indians                                                   ,Golden Moon Hotel and Casino                      ,P.O. Box 6010                               ,101 Industrial Road                ,Choctaw MS 39350                      ,Class II & III                        ,601-663-0243                          ,601-663-0079                                                                          ,william.johnson@pearlriverresort.com
MS    ,Mississippi Band of Choctaw Indians                                                   ,Bok Homa Casino                                   ,P.O. Box 6010                               ,101 Industrial Road                ,Choctaw MS 39350                      ,Class II & III                        ,601-663-3860                          ,601-428-1918                                                                          ,william.johnson@pearlriverresort.com
MS    ,Mississippi Band of Choctaw Indians                                                   ,Silver Star Hotel & Casino                        ,P.O. Box 6010                               ,101 Industrial Road                ,Choctaw MS 39350                      ,Class II & III                        ,601-663-0243                          ,601-663-0079                                                                          ,william.johnson@pearlriverresort.com
MT    ,Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Fred's Grill and Casino fka B & S Laundry         ,P.O. Box 1027                               ,Poplar MT 59255                    ,Class III                             ,406-768-8102                          ,406-768-5657                          ,day_md@yahoo.com
MT    ,Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,T.J.'s Quick Stop                                 ,P.O. Box 1027                               ,Poplar MT 59255                    ,Class III                             ,406-768-8377                          ,406-768-3685                          ,day_md@yahoo.com
MT    ,Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Silver Wolf Casino                                ,P.O. Box 1027                               ,Poplar MT 59255                    ,Class II & III                        ,406-653-3475                          ,406-653-3181                          ,silverwolfcasino@nemont.net
MT    ,Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Tribal Express Casino                             ,P.O. Box 1027                               ,Poplar MT 59255                    ,Class III                             ,406-768-8102                          ,406-768-5657                          ,day_md@yahoo.com
MT    ,Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Git-N-Go                                          ,P.O. Box 1027                               ,Poplar MT 59255                    ,Class III                             ,406-768-8102                          ,406-768-5657                          ,day_md@yahoo.com
MT    ,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana                        ,The Peak                                          ,P.O. Box 850                                ,Browning MT 59417                  ,Class II                              ,406-338-5722                          ,                                      ,hironshirt@glaciercash.com
