State ,Tribe Name                                                                            ,Casino_Name                                                 ,Address                                                               ,Game Class Type                       ,Work Phone   ,Work Fax                  ,Email Address                                                                         ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost
CA    ,Tule River Indian Tribe of the Tule River Reservation                                 ,Eagle Mountain Casino                                       ,1850 West St Porterville CA 93257                                     ,Class II & III                        ,559-788-6220 ,559-788-6223              ,Commission@trtgc.com                                                                  ,      1750 ,     2021 ,          105000 ,          2023 ,  3.2          , 200000000
CA    ,Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria                             ,Black Oak Casino Resort                                     ,19400 Tuolumne Rd N Tuolumne CA 95379                                 ,Class II & III                        ,209-928-9300 ,209-928-9301              ,lbaxter@blackoakcasino.com                                                            ,      1174 ,     2005 ,           50000 ,          2009 ,  9            , 160000000
CA    ,Twenty Nine Palms Band of Mission Indians                                             ,Tortoise Rock Casino                                        ,73829 Baseline Rd Twentynine Palms CA 92277                           ,Class II & III                        ,760-775-5566 ,760-775-4638              ,amadrigal@29palmsbomi-nsn.gov                                                         ,       490 ,     2014 ,           30000 ,               , 15.1          ,  10400000
CA    ,United Auburn Indian Community of the Auburn Rancheria                                ,Thunder Valley Casino                                       ,1200 Athens Ave Lincoln CA 95648                                      ,Class II & III                        ,916-408-8398 ,916-408-8370              ,dawn.clayton@thundervalleyresort.com                                                  ,      3500 ,     2003 ,          250000 ,               , 14            , 130000000
CA    ,Viejas Band of Kumeyaay Indians                                                       ,Viejas Casino                                               ,5000 Willows Rd Alpine CA 91901                                       ,Class II & III                        ,619-659-5400 ,619-659-1968              ,jwild@viejas.com                                                                      ,      2500 ,     1991 ,          133000 ,          2013 ,193.8          , 800000000
CA    ,Wilton Rancheria                                                                      ,Sky River Casino                                            ,1 Sky River Pkwy Elk Grove CA 95757                                   ,Class III                             ,916-866-0340 ,                          ,Chris.Gibase@SkyRiver.com                                                             ,      2100 ,     2022 ,          100000 ,               ,  3.1          , 400000000
CA    ,Yocha DeHe Wintun Nation                                                              ,Cache Creek Casino Resort                                   ,14455 CA-16 Brooks CA 95606                                           ,Class II & III                        ,530-796-5201 ,530-796-5202              ,kstout-smith@cachecreek.com                                                           ,      2300 ,     1993 ,           74270 ,          2002 ,220            ,          
CA    ,Yuhaaviatam of San Manuel Nation                                                      ,Yaamava' Resort & Casino at San Manuel                      ,777 San Manuel Blvd S Highland CA 92346                               ,Class II & III                        ,909-864-5050 ,909-862-8890              ,Elizabeth.Lepe@yaamava.com                                                            ,      7200 ,     1994 ,          290000 ,          2021 , 89.5          , 720000000
CA    ,Yurok Tribe of the Yurok Reservation                                                  ,Redwood Hotel Casino                                        ,171 Klamath Blvd Klamath CA 95548                                     ,Class III                             ,707-482-1777 ,707-482-1772              ,Not provided                                                                          ,       125 ,     2014 ,            3700 ,          2024 ,  8.6          ,  15000000
CO    ,Southern Ute Indian Tribe                                                             ,Sky Ute Casino Resort                                       ,14324 CO-172 Ignacio CO 81137                                         ,Class II & III                        ,970-563-3000 ,970-563-3006              ,charley.flagg@skyutecasino.com                                                        ,       500 ,     2008 ,           45000 ,               ,  1.9          ,  17500000
CO    ,Ute Mountain Ute Tribe                                                                ,Ute Mountain Casino                                         ,3 Weeminuche Dr Towaoc CO 81334                                       ,Class II & III                        ,970-565-8800 ,970-565-6553              ,rsheer@utemountaincasino.com                                                          ,       700 ,     1992 ,           60000 ,          2004 ,  8.5          ,   5500000
CT    ,Mashantucket Pequot Indian Tribe                                                      ,Foxwoods Resort & Casino                                    ,350 Trolley Line Blvd Mashantucket CT 06338                           ,Class II & III                        ,860-312-3000 ,860-312-5044              ,frappaport@mptn-nsn.gov                                                               ,      5500 ,     1992 ,          344000 ,          2005 , 91            , 700000000
CT    ,Mohegan Tribe of Indians of Connecticut                                               ,Mohegan Sun Casino                                          ,1 Mohegan Sun Blvd Uncasville CT 06382                                ,Class II & III                        ,860-862-7786 ,860-862-3078              ,jhamilton@mohegansun.com                                                              ,      6500 ,     1996 ,          364000 ,          2016 ,598.960        , 600000000
FL    ,Miccosukee Tribe of Indians of Florida                                                ,Miccosukee Resort & Gaming                                  ,500 SW 177th Ave Miami FL 33194                                       ,Class II                              ,             ,305-226-9254              ,BeverlyT@miccosukeetribe.com; MarlaP@miccosukeetribe.com; PeytonW@miccosukeetribe.com ,      1800 ,     1999 ,           70000 ,          2024 , 21.1          ,  45000000
FL    ,Seminole Tribe of Florida                                                             ,Seminole Hard Rock Hotel & Casino - Tampa                   ,5223 Orient Rd Tampa FL 33610                                         ,Class II & III                        ,813-627-7808 ,813-623-6862              ,marcellusosceola@semtribe.com                                                         ,      5000 ,     2000 ,          190000 ,          2019 ,237.7          , 519000000
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Brighton                           ,17735 Reservation Rd Okeechobee FL 34974                              ,Class II & III                        ,863-467-9998 ,863-467-1197              ,mjohns@semtribe.com                                                                   ,       400 ,     1980 ,           27000 ,          2025 , 34.2          ,          
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Coconut Creek                      ,5550 NW 40th St Coconut Creek FL 33073                                ,Class II & III                        ,954-977-6700 ,954-970-7721              ,larry.buck@stofgaming.com                                                             ,      2400 ,     2000 ,           24000 ,          2012 , 72            , 120000000
FL    ,Seminole Tribe of Florida                                                             ,Seminole Indian Casino - Immokalee                          ,506 S 1st St Immokalee FL 34142                                       ,Class II & III                        ,239-658-1313 ,239-658-1515              ,antonio.alves@stofgaming.com                                                          ,      1400 ,     1994 ,           51000 ,          2009 , 95.7          ,          
FL    ,Seminole Tribe of Florida                                                             ,Seminole Hard Rock Hotel & Casino - Hollywood               ,1 Seminole Way Hollywood FL 33314                                     ,Class II & III                        ,954-327-7505 ,954-797-2373              ,auggie.cipollini@seminolehardrock.com                                                 ,      2500 ,     1979 ,          140000 ,          2019 , 28            ,1500000000
IA    ,Omaha Tribe of Nebraska                                                               ,Blackbird Bend Casino                                       ,17214 210th St Onawa IA 51040                                         ,Class III                             ,712-423-9646 ,                          ,leander.merrick@theomahatribe.com                                                     ,       400 ,     1992 ,           10000 ,          2009 , 16.9          ,   8000000
IA    ,Sac & Fox Tribe of the Mississippi in Iowa                                            ,Meskwaki Bingo Casino Hotel                                 ,1504 305th St Tama IA 52339                                           ,Class II & III                        ,641-484-1474 ,641-484-1618              ,vern.jefferson@meskwaki-nsn.gov                                                       ,      1350 ,     1992 ,           67553 ,          2019 , 11            , 100000000
IA    ,Winnebago Tribe of Nebraska                                                           ,WinnaVegas Casino                                           ,1500 330th St Sloan IA 51055                                          ,Class II & III                        ,             ,ray.thomas@winnevegas.biz ,                                                                                      ,       850 ,     1992 ,           54343 ,          2023 , 12            ,   1000000
ID    ,Coeur d'Alene Tribe                                                                   ,Coeur d'Alene Casino Resort/Hotel                           ,37914 S Nukwalqw St Worley ID 83876                                   ,Class II & III                        ,208-769-2600 ,208-665-6936              ,fsijohn@cdacasino.com                                                                 ,      2000 ,     1993 ,          100000 ,          2011 ,  6.5          ,  85000000
ID    ,Kootenai Tribe of Idaho                                                               ,Kootenai River Inn Casino and Spa                           ,7169 Plaza St Bonners Ferry ID 83805                                  ,Class II & III                        ,208-267-8511 ,208-267-3744              ,tom@kootenairiverinn.com                                                              ,       500 ,     1986 ,           30000 ,          2005 , 18.9          ,          
ID    ,Nez Perce Tribe                                                                       ,Clearwater River Casino & Lodge                             ,17500 Nez Perce Rd Lewiston ID 83501                                  ,Class II & III                        ,208-746-0723 ,208-746-5715              ,dank@crcasino.com                                                                     ,      1200 ,     2003 ,           80000 ,               , 13.9          ,          
ID    ,Nez Perce Tribe                                                                       ,It'Se Ye-Ye Casino                                          ,419 3rd St Kamiah ID 83536                                            ,Class III                             ,208-935-7860 ,208-935-7943              ,dank@crcasino.com                                                                     ,       110 ,     2001 ,            6000 ,               ,  7.8          ,          
ID    ,Shoshone-Bannock Tribes                                                               ,Bannock Peak Casino                                         ,1103 E County Rd Pocatello ID 83204                                   ,Class II & III                        ,208-233-8774 ,208-637-6656              ,rbarlow@shobangaming.com                                                              ,        60 ,     1990 ,            2700 ,               ,  3.5          ,          
ID    ,Shoshone-Bannock Tribes                                                               ,Shoshone-Bannock Casino                                     ,777 Bannock Ave Building B Fort Hall ID 83203                         ,Class II & III                        ,208-237-8774 ,208-637-6656              ,rbarlow@shobangaming.com                                                              ,       900 ,     2012 ,           72984 ,          2019 , 39.1          , 311000000
ID    ,Shoshone-Bannock Tribes                                                               ,Sage Hill Travel Center & Casino                            ,843 North US-91 Blackfoot ID 83221                                    ,Class III                             ,208-237-8774 ,208-637-6656              ,rbarlow@shobangaming.com                                                              ,       100 ,     2018 ,           13200 ,               ,  3.5          ,          
IN    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino South Bend                                ,3000 Prairie Ave South Bend IN 46614                                  ,Class II & III                        ,             ,574-931-3205              ,sjrice@fourwindscasino.com                                                            ,      2250 ,     2018 ,          175000 ,          2022 ,120.1160542    , 400000000
KS    ,Iowa Tribe of Kansas and Nebraska                                                     ,Casino White Cloud                                          ,777 Jackpot Dr White Cloud KS 66094                                   ,Class II & III                        ,785-595-3430 ,785-595-3431              ,trhodd@iowas.org                                                                      ,       380 ,     1998 ,           21000 ,               ,  4            ,          
KS    ,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas                       ,Golden Eagle Casino                                         ,1121 Goldfinch Rd Horton KS 66439                                     ,Class III                             ,785-486-6601 ,785-486-2800              ,kickapooexecutivesecretary@ktik-nsn.gov                                               ,       400 ,     1996 ,           45000 ,               , 12.6          ,          
KS    ,Prairie Band of Potawatomi Nation                                                     ,Prairie Band Casino & Resort                                ,12305 150th Rd Mayetta KS 66509                                       ,Class III                             ,785-966-7777 ,785-966-7206              ,josephr@pbpnation.org                                                                 ,      1200 ,     1998 ,           35000 ,          2019 , 65            , 130000000
LA    ,Chitimacha Tribe of Louisiana                                                         ,Cypress Bayou Casino                                        ,832 Martin Luther King Rd Charenton LA 70523                          ,Class II & III                        ,800-284-4386 ,337-924-3321              ,melissad@chitimacha.gov                                                               ,      1000 ,     1993 ,          180000 ,          2012 , 66            ,  20000000
LA    ,Coushatta Tribe of Louisiana                                                          ,Coushatta Casino Resort                                     ,777 Coushatta Dr Kinder LA 70648                                      ,Class II & III                        ,337-738-7317 ,337-738-7253              ,jcernek@coushatta.org                                                                 ,      2000 ,     1995 ,          100000 ,          2024 ,336            , 150000000
LA    ,Jena Band of Choctaw Indians                                                          ,Miko's Gaming                                               ,3020 Hina Chata St Suite 2 Jena LA 71342                              ,Class II & III                        ,318-992-0998 ,                          ,lrogers@jenachoctaw.org                                                               ,        40 ,     1998 ,            3000 ,               ,  1            ,          
LA    ,Jena Band of Choctaw Indians                                                          ,Choctaw Pines Casino                                        ,149 Chahta Trails Dry Prong LA 71423                                  ,Class II                              ,318-648-7773 ,318-640-0076              ,graynor@choctawpines.com                                                              ,       600 ,     2013 ,           46000 ,               , 66.8          ,          
LA    ,Tunica-Biloxi Indian Tribe of Louisiana                                               ,Paragon Casino & Resort                                     ,711 Paragon Pl Marksville LA 71351                                    ,Class II & III                        ,800-946-1946 ,318-253-2033              ,mpierite@tunica.org                                                                   ,      1000 ,     1994 ,           72000 ,          2023 , 15            ,          
MI    ,Bay Mills Indian Community                                                            ,Bay Mills Resort & Casino                                   ,11386 W Lakeshore Dr Brimley MI 49715                                 ,Class II & III                        ,906-248-3715 ,906-248-3755              ,wgravelle@baymills.org                                                                ,       600 ,     1995 ,           17000 ,          2022 , 92.8          , 100000000
MI    ,Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Turtle Creek Casino                                         ,7741 M-72 Williamsburg MI 49690                                       ,Class II & III                        ,231-534-8888 ,231-534-8889              ,David.Arroyo@gtbindians.com                                                           ,      1600 ,     1996 ,           56000 ,          2008 ,  5            , 160000000
MI    ,Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Leelanau Sands Casino                                       ,2521 N West Bay Shore Dr Peshawbestown MI 49682                       ,Class II & III                        ,231-534-8100 ,231-534-8101              ,jesse.ward@gtbindians.com                                                             ,       350 ,     1991 ,           30000 ,          2013 , 16            ,   2500000
MI    ,Hannahville Indian Community                                                          ,Island Resort & Casino                                      ,W 399 US-2 Harris MI 49845                                            ,Class II & III                        ,800-682-6040 ,906-466-2945              ,tyderyien@hannahville.org                                                             ,      1150 ,     1985 ,           55000 ,          2017 , 60            ,  80000000
MI    ,Keweenaw Bay Indian Community                                                         ,Ojibwa Casino II                                            ,16449 Michigan Avenue Baraga MI 49908-9209                            ,Class II & III                        ,906-353-6333 ,906-353-6833              ,doreen@kbic-nsn.gov                                                                   ,       300 ,     1990 ,           17000 ,          2016 , 47.1          ,   6500000
MI    ,Keweenaw Bay Indian Community                                                         ,Ojibwa Casino and Resort - Marquette                        ,105 Acre Trail Marquette MI 49855                                     ,Class II & III                        ,906-249-4200 ,906-249-3032              ,doreen@kbic-nsn.gov                                                                   ,       500 ,     1985 ,           67000 ,          2019 ,  9.6          ,  40000000
MI    ,Lac Vieux Desert Tribe                                                                ,Northern Waters Casino Resort                               ,N5384 US-45 Watersmeet MI 49969                                       ,Class II & III                        ,906-358-0480 ,906-358-0288              ,Michael.Broderick@lvd-nsn.gov                                                         ,       495 ,     1998 ,           25000 ,          2008 , 20.5          ,  19000000
MI    ,Little River Band of Ottawa Indians                                                   ,Little River Casino                                         ,2700 Orchard Hwy Manistee MI 49660                                    ,Class II & III                        ,231-723-1535 ,                          ,larryromanelli@lrboi-nsn.gov                                                          ,      1100 ,     1999 ,           70000 ,          2016 ,  9.6          ,  55000000
MI    ,Little Traverse Bay Band of Odawa Indians                                             ,Odawa Casino Mackinaw City                                  ,1080 S Nicolet St Mackinaw City MI 49701                              ,Class II & III                        ,             ,                          ,                                                                                      ,       200 ,     2016 ,            5000 ,               , 30            ,   3200000
MI    ,Little Traverse Bay Band of Odawa Indians                                             ,Odawa Casino Resort                                         ,1760 Lears Rd Petoskey MI 49770                                       ,Class II & III                        ,             ,231-439-6100              ,rolson@odawacasino.com                                                                ,      1000 ,     2007 ,           50000 ,               ,500            ,          
MI    ,Match-E-Be-Nash-She-Wish Band of Potawatomi Indians                                   ,Gun Lake Casino                                             ,1123 129th Ave Wayland MI 49348                                       ,Class II & III                        ,269-792-7625 ,269-792-7509              ,Bob.Peters@glt-nsn.gov                                                                ,      2500 ,     2011 ,          156000 ,          2021 , 45            , 400000000
MI    ,Nottawaseppi Huron Band of Potawatomi                                                 ,Firekeepers                                                 ,11177 E Michigan Ave Battle Creek MI 49014                            ,Class II & III                        ,269-660-5475 ,                          ,jstuck@nhbpi.com                                                                      ,      2680 ,     2009 ,          107000 ,          2012 , 20.2          , 300000000
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Dowagiac                                  ,58700 M-51 S Dowagiac MI 49047                                        ,Class II & III                        ,866-494-6371 ,                          ,rebecca.richards@pokagonband-nsn.gov                                                  ,       404 ,     2013 ,           12000 ,               , 21.56750484   ,          
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Hartford                                         ,68600 Red Arrow Hwy Hartford MI 49057                                 ,Class II & III                        ,866-494-3371 ,                          ,ffreedman@fourwindscasino.com                                                         ,       550 ,     2011 ,           52000 ,               , 29.36170213   ,  40000000
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Resort                                    ,11111 Wilson Rd New Buffalo MI 49117                                  ,Class II & III                        ,866-494-6371 ,                          ,ffreedman@fourwindscasino.com                                                         ,      3000 ,     2007 ,          130000 ,          2011 ,160.1547389    , 200000000
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Soaring Eagle Casino & Resort                               ,6800 Soaring Eagle Blvd Mt Pleasant MI 48858                          ,Class II & III                        ,989-775-5700 ,                          ,ThJackson@sagchip.org                                                                 ,      4400 ,     1997 ,          210000 ,          2011 ,200            , 180000000
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Saganing Eagle's Landing Casino                             ,2690 Worth Rd Standish MI 48658                                       ,Class III                             ,             ,                          ,melcoffin@sagchip.org                                                                 ,       800 ,     2007 ,           32000 ,          2019 , 11.6          , 100000000
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Hessel                                       ,N 3 Mile Rd Hessel MI 49745                                           ,Class II & III                        ,906-484-2903 ,906-484-2166              ,tlaplaunt@saulttribe.net                                                              ,       150 ,     1994 ,            6400 ,          2023 , 33            ,   5000000
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Hotel & Convention Center                    ,2186 Shunk Rd.Sault Ste. Marie MI 49783                               ,Class II & III                        ,800-539-2346 ,906-635-4959              ,                                                                                      ,      2300 ,     1985 ,          210000 ,          2004 ,110            , 300000000
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Manistique                                   ,5630 W US-2 Manistique MI 49854                                       ,Class II & III                        ,906-341-5510 ,906-635-4947              ,                                                                                      ,       800 ,     1994 ,           10000 ,               , 53.5          ,          
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino St. Ignace                                   ,3015 Mackinac Trail St Ignace MI 49781                                ,Class II & III                        ,906-643-7071 ,                          ,                                                                                      ,       700 ,     1987 ,           25000 ,               , 21.7          ,          
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Christmas                                    ,N7761 Candy Cane Ln Christmas MI 49862                                ,Class III                             ,906-387-5475 ,                          ,                                                                                      ,       245 ,     1994 ,            8500 ,               ,  3.108        ,          
MN    ,Bois Forte Band of Minnesota Chippewa Tribe                                           ,Fortune Bay Casino                                          ,1430 Bois Forte Rd Tower MN 55790                                     ,Class II & III                        ,218-753-7731 ,218-753-6488              ,cchavers@boisforte-nsn.gov                                                            ,       500 ,     1986 ,           25000 ,          2004 ,  3.8          ,  13000000
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Black Bear Casino                                           ,1785 MN-210 Carlton MN 55718                                          ,Class II & III                        ,218-878-2327 ,218-878-2414              ,kevindupuis@fdlrez.com                                                                ,      1800 ,     1993 ,           67000 ,          2008 ,131.5          , 128000000
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Fond du Luth Casino                                         ,129 E Superior St Duluth MN 55802                                     ,Class III                             ,218-722-0280 ,218-720-5150              ,mauriceojibway@fdlrez.com                                                             ,       700 ,     1986 ,           20000 ,          2016 , 31.5          ,   6200000
MN    ,Grand Portage Band of Minnesota Chippewa Tribe                                        ,Grand Portage Casino                                        ,70 Casino Dr Grand Portage MN 55605                                   ,Class II & III                        ,800-543-1384 ,                          ,robertdeschampe@grandportage.com                                                      ,       450 ,     1975 ,           15000 ,          2018 , 28.8          ,   5000000
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Big Winnie Bar                                              ,4 County Rd 8 NE Bena MN 56626                                        ,Class III                             ,218-335-7523 ,                          ,faron.jackson@llojibwe.net                                                            ,        25 ,     2023 ,                 ,               ,  0.5          ,          
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Cedar Lakes Casino & Hotel                                  ,6268 Upper Cass Frontage Rd NW Cass Lake MN 56633                     ,Class II & III                        ,800-216-6329 ,218-335-7527              ,Richard.Jones@leechlakegaming.com                                                     ,       650 ,     1989 ,           22000 ,          2019 ,  5            ,  45000000
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Shingobee on the Bay                                        ,7114 Shingobee Rd NW Walker MN 56484                                  ,Class II & III                        ,218-547-6233 ,218-335-7527              ,john.lafond@leechlakegaming.com                                                       ,        43 ,     2017 ,            9000 ,               ,  1            ,   6285000
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,White Oak Casino                                            ,45830 US-2 Deer River MN 56636                                        ,Class III                             ,218-246-9600 ,218-335-4326              ,derek.jackson@leechlakegaming.com                                                     ,       300 ,     2000 ,           15480 ,               ,  2.9          ,          
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Northern Lights Casino                                      ,6800 Y Frontage Rd NW Walker MN 56484                                 ,Class II & III                        ,800-252-7529 ,218-335-3101              ,                                                                                      ,      1000 ,     1996 ,           46000 ,          2011 , 21.9          ,  30000000
MN    ,Lower Sioux Indian Community in the State of Minnesota                                ,Jackpot Junction Casino Hotel                               ,39375 County Rd 24 Morton MN 56270                                    ,Class II & III                        ,507-697-8027 ,507-697-8024              ,robert.larsen@lowersioux.com                                                          ,      1250 ,     1988 ,          325000 ,          2008 , 60            ,          
MN    ,Mille Lacs Band of Ojibwe                                                             ,Grand Casino Hinckley                                       ,777 Lady Luck Dr Hinckley MN 55037                                    ,Class II & III                        ,             ,                          ,melanie.benjamin@millelacsband.com                                                    ,      2144 ,     1992 ,           54800 ,          2024 ,  5.3          ,          
MN    ,Mille Lacs Band of Ojibwe                                                             ,Grand Casino Mille Lacs                                     ,777 Grand Ave Onamia MN 56359                                         ,Class II & III                        ,             ,                          ,                                                                                      ,      1269 ,     1991 ,           40000 ,          2024 ,450.3          ,          
MN    ,Prairie Island Indian Community in the State of Minnesota                             ,Treasure Island Resort & Casino                             ,5734 Sturgeon Lake Rd Welch MN 55089                                  ,Class II & III                        ,651-388-6300 ,651-385-2560              ,johnny.johnson@piic.org                                                               ,      2400 ,     1989 ,          116000 ,          2015 , 86            , 186000000
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Red Lake                               ,10200 MN-89 Red Lake MN 56671                                         ,Class II & III                        ,218-679-2500 ,218-679-2666              ,dseki@redlakenation.org                                                               ,       300 ,     2009 ,            9875 ,               , 79            ,  21000000
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Thief River Falls                      ,20595 Center St E Thief River Falls MN 56701                          ,                                      ,218-681-4062 ,218-681-1054              ,                                                                                      ,       650 ,     1993 ,           19222 ,          2019 ,  8.3          ,  12000000
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Warroad                                ,34966 605th Ave Warroad MN 56763                                      ,                                      ,218-386-3381 ,218-386-2969              ,                                                                                      ,       580 ,     2014 ,           82800 ,               , 18.2          ,  12400000
MN    ,Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Mystic Lake Casino                                          ,2400 Mystic Lake Blvd NW Prior Lake MN 55372                          ,Class II & III                        ,952-445-9000 ,952-496-7280              ,Sara.dobesh@shakopeedakota.org                                                        ,      4000 ,     1990 ,          125000 ,          2017 ,120            , 190000000
MN    ,Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Little Six Casino                                           ,2450 Sioux Trail NW Prior Lake MN 55372                               ,                                      ,952-445-6000 ,952-403-5535              ,                                                                                      ,       800 ,     2007 ,           25000 ,               , 11.2          ,  77000000
MN    ,Upper Sioux Community                                                                 ,Prairie's Edge Casino Resort                                ,5616 Prairies Edge Ln Granite Falls MN 56241                          ,Class II & III                        ,320-564-2121 ,320-564-4175              ,kevinj@uppersiouxcommunity-nsn.gov                                                    ,      1000 ,     2003 ,           20000 ,               , 25.8          ,  21000000
MN    ,White Earth Nation                                                                    ,3 Bears Golf Course and Berry's Liquor Store                ,31948 Cherry Lake Rd Ogema MN 56569                                   ,Class II & III                        ,218-983-3228 ,218-935-5087              ,christie.haverkamp@whiteearth-nsn.gov                                                 ,         5 ,          ,                 ,               ,  0.9          ,          
MN    ,White Earth Nation                                                                    ,City of Callaway d/b/a Callaway Liquor Store                ,406 Main Ave Callaway MN 56521                                        ,                                      ,218-375-3133 ,218-935-5087              ,christie.haverkamp@whiteearth-nsn.gov                                                 ,        22 ,          ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,d/b/a Wild Rice Lounge                                      ,207 SW Main Street mahnomen mn                                        ,Class II                              ,             ,218-935-2573              ,218-935-5087                                                                          ,        12 ,     2020 ,            2100 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,Sundown Bar                                                 ,1004 Pleasant Ave Waubun MN 56589                                     ,Class II                              ,             ,218-473-2002              ,218-935-5087                                                                          ,        10 ,     2004 ,            1500 ,          2020 ,  1            ,          
MN    ,White Earth Nation                                                                    ,Shooting Star Casino-Mahnomen                               ,777 S Casino Rd Mahnomen MN 56557                                     ,Class II & III                        ,218-935-2711 ,218-935-2206              ,SStevens@starcasino.com                                                               ,       800 ,     1991 ,           73000 ,          2001 ,  8.9          ,  30000000
MN    ,White Earth Nation                                                                    ,Pappy's Cafe and Pizzeria                                   ,1222 1st St Waubun MN 56589-4048                                      ,Class II                              ,             ,218-473-2700              ,218-935-5087                                                                          ,         5 ,     2010 ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,Pinehurst Resort and Lodge Inc.                             ,27345 Co Rd 4 Naytahwaush MN 56566                                    ,Class II                              ,             ,218-935-5745              ,218-935-5087                                                                          ,        17 ,     1991 ,            1400 ,               ,103.5          ,          
MN    ,White Earth Nation                                                                    ,Ogema Fire Department d/b/a Ogema Liquor Store              ,411 Main St E Ogema MN 56569                                          ,Class II                              ,             ,218-983-3285              ,218-935-5087                                                                          ,        15 ,     1987 ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,McArthur's Village Store Inc.                               ,230 Shore Avenue Naytahwaush MN 56566                                 ,Class II                              ,             ,218-935-5855              ,218-935-5087                                                                          ,         5 ,          ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,M&W Service of White Earth                                  ,25921 County Rd 34 Ogema MN 56569                                     ,Class II                              ,             ,218-983-3790              ,218-935-5087                                                                          ,         4 ,     2022 ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,Backwoods ICL LLC dba Ice Cracking Lodge                    ,30389 Co Hwy 35 Ponsford MN 56575                                     ,Class II                              ,218-573-3631 ,218-935-5087              ,christie.haverkamp@whiteearth-nsn.gov                                                 ,        22 ,     2009 ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,Peachy's Pub ALB Food & Beverage LLC                        ,500 Main St Bejou MN 56516                                            ,Class II                              ,218-935-5116 ,218-935-5087              ,christie.haverkamp@whiteearth-nsn.gov                                                 ,         5 ,     2009 ,                 ,               ,  1            ,          
MN    ,White Earth Nation                                                                    ,Big Elbow Lake Lodge & Campground LLP                       ,40419 Elbow Lake Store Rd Waubun MN 56589                             ,Class II                              ,218-734-2504 ,218-935-5087              ,christie.haverkamp@whiteearth-nsn.gov                                                 ,         6 ,     2011 ,                 ,               ,  1            ,          
MS    ,Mississippi Band of Choctaw Indians                                                   ,Golden Moon Hotel and Casino                                ,13541 MS-16 Choctaw MS 39350                                          ,Class II & III                        ,601-663-0243 ,601-663-0079              ,william.johnson@pearlriverresort.com                                                  ,      1150 ,     2002 ,           70000 ,          2015 , 89            ,  71000000
MS    ,Mississippi Band of Choctaw Indians                                                   ,Bok Homa Casino                                             ,1 Choctaw Rd Heidelberg MS 39439                                      ,Class II & III                        ,601-663-3860 ,601-428-1918              ,william.johnson@pearlriverresort.com                                                  ,       700 ,     2010 ,           27000 ,          2023 , 12.5          ,  18000000
MS    ,Mississippi Band of Choctaw Indians                                                   ,Silver Star Hotel & Casino                                  ,13541 MS-16 Philadelphia MS 39350                                     ,Class II & III                        ,601-663-0243 ,601-663-0079              ,william.johnson@pearlriverresort.com                                                  ,      1200 ,     1994 ,           90000 ,          2013 , 53            , 145000000
