State ,Tribe Name                                                                            ,Casino Name                                                 ,Address                                                               ,Game Class Type                       ,Work Phone   ,Work Fax                     ,Email Address                                                                         ,SeatsSlots ,Open_Date ,SquareFeetGaming ,Renovation_Expansion_completeDate ,CasinoWebsiteLink                                                                                                                                                                                                                                                                                                                    ,Cost
LA    ,Coushatta Tribe of Louisiana                                                          ,Coushatta Casino Resort                                     ,777 Coushatta Dr Kinder LA 70648                                      ,Class II & III                        ,337-738-7317 ,337-738-7253                 ,jcernek@coushatta.org                                                                 ,      2000 ,     1995 ,          100000 ,                             2024 ,https://www.500nations.com/casinos/laCoushattaCasinoResort.asp#:~:text=The%20Coushatta%20Casino%20Resort%20offers                                                                                                                                                                                                                    , 150000000
LA    ,Jena Band of Choctaw Indians                                                          ,Miko's Gaming                                               ,3020 Hina Chata St Suite 2 Jena LA 71342                              ,Class II & III                        ,318-992-0998 ,                             ,lrogers@jenachoctaw.org                                                               ,        40 ,     1998 ,            3000 ,                                  ,https://www.casinocity.com/louisiana/jena/mikos-gaming/owner/                                                                                                                                                                                                                                                                        ,          
LA    ,Jena Band of Choctaw Indians                                                          ,Choctaw Pines Casino                                        ,149 Chahta Trails Dry Prong LA 71423                                  ,Class II                              ,318-648-7773 ,318-640-0076                 ,graynor@choctawpines.com                                                              ,       600 ,     2013 ,           46000 ,                                  ,https://choctawpines.com/about/#:~:text=After%2015%20years%20of%20planning                                                                                                                                                                                                                                                           ,          
LA    ,Tunica-Biloxi Indian Tribe of Louisiana                                               ,Paragon Casino & Resort                                     ,711 Paragon Pl Marksville LA 71351                                    ,Class II & III                        ,800-946-1946 ,318-253-2033                 ,mpierite@tunica.org                                                                   ,      1000 ,     1994 ,           72000 ,                             2023 ,https://www.paragoncasinoresort.com/press/new-and-improved-south-tower-on-track-to-be-unveiled-this-winter                                                                                                                                                                                                                           ,          
MI    ,Bay Mills Indian Community                                                            ,Bay Mills Resort & Casino                                   ,11386 W Lakeshore Dr Brimley MI 49715                                 ,Class II & III                        ,906-248-3715 ,906-248-3755                 ,wgravelle@baymills.org                                                                ,       600 ,     1995 ,           17000 ,                             2022 ,https://www.sooleader.com/then-and-now/bay-mills-resort-and-casino-major-expansion-project-7637865#:~:text=Groundbreaking%20for%20the%20%24100%20million                                                                                                                                                                             , 100000000
MI    ,Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Turtle Creek Casino                                         ,7741 M-72 Williamsburg MI 49690                                       ,Class II & III                        ,231-534-8888 ,231-534-8889                 ,David.Arroyo@gtbindians.com                                                           ,      1600 ,     1996 ,           56000 ,                             2008 ,https://www.eraeng.com/projects/art-entertainment/turtle-creek-casino-and-hotel.html                                                                                                                                                                                                                                                 , 160000000
MI    ,Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Leelanau Sands Casino                                       ,2521 N West Bay Shore Dr Peshawbestown MI 49682                       ,Class II & III                        ,231-534-8100 ,231-534-8101                 ,jesse.ward@gtbindians.com                                                             ,       350 ,     1991 ,           30000 ,                             2013 ,https://www.leelanausandscasino.com                                                                                                                                                                                                                                                                                                  ,   2500000
MI    ,Hannahville Indian Community                                                          ,Island Resort & Casino                                      ,W 399 US-2 Harris MI 49845                                            ,Class II & III                        ,800-682-6040 ,906-466-2945                 ,tyderyien@hannahville.org                                                             ,      1150 ,     1985 ,           55000 ,                             2017 ,https://www.islandresortandcasino.com/about                                                                                                                                                                                                                                                                                          ,  80000000
MI    ,Keweenaw Bay Indian Community                                                         ,Ojibwa Casino II                                            ,16449 Michigan Avenue Baraga MI 49908-9209                            ,Class II & III                        ,906-353-6333 ,906-353-6833                 ,doreen@kbic-nsn.gov                                                                   ,       300 ,     1990 ,           17000 ,                             2016 ,https://www.500nations.com/casinos/miOjibwaBaraga.asp                                                                                                                                                                                                                                                                                ,   6500000
MI    ,Keweenaw Bay Indian Community                                                         ,Ojibwa Casino and Resort - Marquette                        ,105 Acre Trail Marquette MI 49855                                     ,Class II & III                        ,906-249-4200 ,906-249-3032                 ,doreen@kbic-nsn.gov                                                                   ,       500 ,     1985 ,           67000 ,                             2019 ,https://www.uptravel.com/listing/ojibwa-casino-marquette/3028/                                                                                                                                                                                                                                                                       ,  40000000
MI    ,Lac Vieux Desert Tribe                                                                ,Northern Waters Casino Resort                               ,N5384 US-45 Watersmeet MI 49969                                       ,Class II & III                        ,906-358-0480 ,906-358-0288                 ,Michael.Broderick@lvd-nsn.gov                                                         ,       495 ,     1998 ,           25000 ,                             2008 ,https://www.lvdcasino.com                                                                                                                                                                                                                                                                                                            ,  19000000
MI    ,Little River Band of Ottawa Indians                                                   ,Little River Casino                                         ,2700 Orchard Hwy Manistee MI 49660                                    ,Class II & III                        ,231-723-1535 ,                             ,larryromanelli@lrboi-nsn.gov                                                          ,      1100 ,     1999 ,           70000 ,                             2016 ,https://www.lrcr.com/about-little-river                                                                                                                                                                                                                                                                                              ,  55000000
MI    ,Little Traverse Bay Band of Odawa Indians                                             ,Odawa Casino Mackinaw City                                  ,1080 S Nicolet St Mackinaw City MI 49701                              ,Class II & III                        ,             ,                             ,                                                                                      ,       200 ,     2016 ,            5000 ,                                  ,https://www.500nations.com/casinos/miMackinawCasino.asp                                                                                                                                                                                                                                                                              ,   3200000
MI    ,Little Traverse Bay Band of Odawa Indians                                             ,Odawa Casino Resort                                         ,1760 Lears Rd Petoskey MI 49770                                       ,Class II & III                        ,             ,231-439-6100                 ,rolson@odawacasino.com                                                                ,      1000 ,     2007 ,           50000 ,                                  ,https://www.odawacasino.com/explore-mackinaw/                                                                                                                                                                                                                                                                                        ,          
MI    ,Match-E-Be-Nash-She-Wish Band of Potawatomi Indians                                   ,Gun Lake Casino                                             ,1123 129th Ave Wayland MI 49348                                       ,Class II & III                        ,269-792-7625 ,269-792-7509                 ,Bob.Peters@glt-nsn.gov                                                                ,      2500 ,     2011 ,          156000 ,                             2021 ,https://www.500nations.com/casinos/miGunLakeCasino.asp                                                                                                                                                                                                                                                                               , 400000000
MI    ,Nottawaseppi Huron Band of Potawatomi                                                 ,Firekeepers                                                 ,11177 E Michigan Ave Battle Creek MI 49014                            ,Class II & III                        ,269-660-5475 ,                             ,jstuck@nhbpi.com                                                                      ,      2680 ,     2009 ,          107000 ,                             2012 ,https://en.wikipedia.org/wiki/FireKeepers_Casino_Hotel                                                                                                                                                                                                                                                                               , 300000000
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Dowagiac                                  ,58700 M-51 S Dowagiac MI 49047                                        ,Class II & III                        ,866-494-6371 ,                             ,rebecca.richards@pokagonband-nsn.gov                                                  ,       404 ,     2013 ,           12000 ,                                  ,https://en.wikipedia.org/wiki/Four_Winds_Dowagiac                                                                                                                                                                                                                                                                                    ,          
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Hartford                                         ,68600 Red Arrow Hwy Hartford MI 49057                                 ,Class II & III                        ,866-494-3371 ,                             ,ffreedman@fourwindscasino.com                                                         ,       550 ,     2011 ,           52000 ,                                  ,https://en.wikipedia.org/wiki/Four_Winds_Hartford                                                                                                                                                                                                                                                                                    ,  40000000
MI    ,Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Four Winds Casino Resort                                    ,11111 Wilson Rd New Buffalo MI 49117                                  ,Class II & III                        ,866-494-6371 ,                             ,ffreedman@fourwindscasino.com                                                         ,      3000 ,     2007 ,          130000 ,                             2011 ,https://en.wikipedia.org/wiki/Four_Winds_New_Buffalo                                                                                                                                                                                                                                                                                 , 200000000
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Soaring Eagle Casino & Resort                               ,6800 Soaring Eagle Blvd Mt Pleasant MI 48858                          ,Class II & III                        ,989-775-5700 ,                             ,ThJackson@sagchip.org                                                                 ,      4400 ,     1997 ,          210000 ,                             2011 ,https://www.500nations.com/casinos/miSoaringEagle.asp#:~:text=Soaring%20Eagle%20Casino%20%26%20Resort%20was                                                                                                                                                                                                                          , 180000000
MI    ,Saginaw Chippewa Indian Tribe of Michigan                                             ,Saganing Eagle's Landing Casino                             ,2690 Worth Rd Standish MI 48658                                       ,Class III                             ,             ,                             ,melcoffin@sagchip.org                                                                 ,       800 ,     2007 ,           32000 ,                             2019 ,https://en.wikipedia.org/wiki/Saganing_Eagles_Landing_Casino                                                                                                                                                                                                                                                                         , 100000000
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Hessel                                       ,N 3 Mile Rd Hessel MI 49745                                           ,Class II & III                        ,906-484-2903 ,906-484-2166                 ,tlaplaunt@saulttribe.net                                                              ,       150 ,     1994 ,            6400 ,                             2023 ,                                                                                                                                                                                                                                                                                                                                     ,   5000000
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Hotel & Convention Center                    ,2186 Shunk Rd.Sault Ste. Marie MI 49783                               ,Class II & III                        ,800-539-2346 ,906-635-4959                 ,                                                                                      ,      2300 ,     1985 ,          210000 ,                             2004 ,https://en.wikipedia.org/wiki/Kewadin_Casino_Hotel_and_Convention_Center                                                                                                                                                                                                                                                             , 300000000
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Manistique                                   ,5630 W US-2 Manistique MI 49854                                       ,Class II & III                        ,906-341-5510 ,906-635-4947                 ,                                                                                      ,       800 ,     1994 ,           10000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino St. Ignace                                   ,3015 Mackinac Trail St Ignace MI 49781                                ,Class II & III                        ,906-643-7071 ,                             ,                                                                                      ,       700 ,     1987 ,           25000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MI    ,Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Kewadin Casino Christmas                                    ,N7761 Candy Cane Ln Christmas MI 49862                                ,Class III                             ,906-387-5475 ,                             ,                                                                                      ,       245 ,     1994 ,            8500 ,                                  ,https://lcb.org/casinos/land/united-states/christmas/kewadin-casino-christmas                                                                                                                                                                                                                                                        ,          
MN    ,Bois Forte Band of Minnesota Chippewa Tribe                                           ,Fortune Bay Casino                                          ,1430 Bois Forte Rd Tower MN 55790                                     ,Class II & III                        ,218-753-7731 ,218-753-6488                 ,cchavers@boisforte-nsn.gov                                                            ,       500 ,     1986 ,           25000 ,                             2004 ,https://fortunebay.com/index.php/casino/games                                                                                                                                                                                                                                                                                        ,  13000000
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Black Bear Casino                                           ,1785 MN-210 Carlton MN 55718                                          ,Class II & III                        ,218-878-2327 ,218-878-2414                 ,kevindupuis@fdlrez.com                                                                ,      1800 ,     1993 ,           67000 ,                             2008 ,https://www.500nations.com/casinos/mnBlackBear.asp#:~:text=Black%20Bear%20Casino%20opened%20in                                                                                                                                                                                                                                       , 128000000
MN    ,Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Fond du Luth Casino                                         ,129 E Superior St Duluth MN 55802                                     ,Class III                             ,218-722-0280 ,218-720-5150                 ,mauriceojibway@fdlrez.com                                                             ,       700 ,     1986 ,           20000 ,                             2016 ,https://www.500nations.com/casinos/mnFondDuLuth.asp                                                                                                                                                                                                                                                                                  ,   6200000
MN    ,Grand Portage Band of Minnesota Chippewa Tribe                                        ,Grand Portage Casino                                        ,70 Casino Dr Grand Portage MN 55605                                   ,Class II & III                        ,800-543-1384 ,                             ,robertdeschampe@grandportage.com                                                      ,       450 ,     1975 ,           15000 ,                             2018 ,https://www.tbnewswatch.com/local-news/revamped-grand-portage-casino-holds-grand-opening-983681                                                                                                                                                                                                                                      ,   5000000
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Big Winnie Bar                                              ,4 County Rd 8 NE Bena MN 56626                                        ,Class III                             ,218-335-7523 ,                             ,faron.jackson@llojibwe.net                                                            ,        25 ,     2023 ,                 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Cedar Lakes Casino & Hotel                                  ,6268 Upper Cass Frontage Rd NW Cass Lake MN 56633                     ,Class II & III                        ,800-216-6329 ,218-335-7527                 ,Richard.Jones@leechlakegaming.com                                                     ,       650 ,     1989 ,           22000 ,                             2019 ,https://www.500nations.com/casinos/mn-cedar-lakes-casino.asp#:~:text=Cedar%20Lakes%20Casino%20%26%20Hotel%20replaced%20Palace%20Casino&text=This%20%2445%20million%20construction%20project                                                                                                                                          ,  45000000
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Shingobee on the Bay                                        ,7114 Shingobee Rd NW Walker MN 56484                                  ,Class II & III                        ,218-547-6233 ,218-335-7527                 ,john.lafond@leechlakegaming.com                                                       ,        43 ,     2017 ,            9000 ,                                  ,https://www.casinocity.com/minnesota/walker/shingobee-on-the-bay/                                                                                                                                                                                                                                                                    ,   6285000
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,White Oak Casino                                            ,45830 US-2 Deer River MN 56636                                        ,Class III                             ,218-246-9600 ,218-335-4326                 ,derek.jackson@leechlakegaming.com                                                     ,       300 ,     2000 ,           15480 ,                                  ,https://www.bemidjipioneer.com/news/overhaul-for-white-oak-and-palace-casinos-announced-at-leech-lake-state-of-the-band                                                                                                                                                                                                              ,          
MN    ,Leech Lake Band of Minnesota Chippewa Tribe                                           ,Northern Lights Casino                                      ,6800 Y Frontage Rd NW Walker MN 56484                                 ,Class II & III                        ,800-252-7529 ,218-335-3101                 ,                                                                                      ,      1000 ,     1996 ,           46000 ,                             2011 ,https://en.wikipedia.org/wiki/Northern_Lights_Casino                                                                                                                                                                                                                                                                                 ,  30000000
MN    ,Lower Sioux Indian Community in the State of Minnesota                                ,Jackpot Junction Casino Hotel                               ,39375 County Rd 24 Morton MN 56270                                    ,Class II & III                        ,507-697-8027 ,507-697-8024                 ,robert.larsen@lowersioux.com                                                          ,      1250 ,     1988 ,          325000 ,                             2008 ,https://loefflerconstruction.com/project/jackpot-junction-casino-expansion/                                                                                                                                                                                                                                                          ,          
MN    ,Mille Lacs Band of Ojibwe                                                             ,Grand Casino Hinckley                                       ,777 Lady Luck Dr Hinckley MN 55037                                    ,Class II & III                        ,             ,                             ,melanie.benjamin@millelacsband.com                                                    ,      2144 ,     1992 ,           54800 ,                             2024 ,https://www.grandcasinomn.com/Play/Hinckley/Slots                                                                                                                                                                                                                                                                                    ,          
MN    ,Mille Lacs Band of Ojibwe                                                             ,Grand Casino Mille Lacs                                     ,777 Grand Ave Onamia MN 56359                                         ,Class II & III                        ,             ,                             ,                                                                                      ,      1269 ,     1991 ,           40000 ,                             2024 ,https://ism3.infinityprosports.com/ismdata/2005041932/std-sitebuilder/sites/201201/www/en/casinos/mille-lacs/                                                                                                                                                                                                                        ,          
MN    ,Prairie Island Indian Community in the State of Minnesota                             ,Treasure Island Resort & Casino                             ,5734 Sturgeon Lake Rd Welch MN 55089                                  ,Class II & III                        ,651-388-6300 ,651-385-2560                 ,johnny.johnson@piic.org                                                               ,      2400 ,     1989 ,          116000 ,                             2015 ,https://www.ticasino.com/casino                                                                                                                                                                                                                                                                                                      , 186000000
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Red Lake                               ,10200 MN-89 Red Lake MN 56671                                         ,Class II & III                        ,218-679-2500 ,218-679-2666                 ,dseki@redlakenation.org                                                               ,       300 ,     2009 ,            9875 ,                                  ,https://www.500nations.com/casinos/mnSevenClansRedLake.asp                                                                                                                                                                                                                                                                           ,  21000000
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Thief River Falls                      ,20595 Center St E Thief River Falls MN 56701                          ,                                      ,218-681-4062 ,218-681-1054                 ,                                                                                      ,       650 ,     1993 ,           19222 ,                             2019 ,https://en.wikipedia.org/wiki/Seven_Clans_Casino_Thief_River_Falls                                                                                                                                                                                                                                                                   ,  12000000
MN    ,Red Lake Band of Chippewa Indians                                                     ,Seven Clans Casino - Warroad                                ,34966 605th Ave Warroad MN 56763                                      ,                                      ,218-386-3381 ,218-386-2969                 ,                                                                                      ,       580 ,     2014 ,           82800 ,                                  ,https://dsgw.com/project/seven-clans-warroad-casino/                                                                                                                                                                                                                                                                                 ,  12400000
MN    ,Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Mystic Lake Casino                                          ,2400 Mystic Lake Blvd NW Prior Lake MN 55372                          ,Class II & III                        ,952-445-9000 ,952-496-7280                 ,Sara.dobesh@shakopeedakota.org                                                        ,      4000 ,     1990 ,          125000 ,                             2017 ,https://finance-commerce.com/2017/03/no-wiggle-room-in-mystic-lake-project/                                                                                                                                                                                                                                                          , 190000000
MN    ,Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Little Six Casino                                           ,2450 Sioux Trail NW Prior Lake MN 55372                               ,                                      ,952-445-6000 ,952-403-5535                 ,                                                                                      ,       800 ,     2007 ,           25000 ,                                  ,https://www.swnewsmedia.com/shakopee_valley_news/news/tribe-to-build-new-little-six-casino/article_0c5ba32c-beb8-5610-8cb7-0bb94bdebe2a.html                                                                                                                                                                                         ,  77000000
MN    ,Upper Sioux Community                                                                 ,Prairie's Edge Casino Resort                                ,5616 Prairies Edge Ln Granite Falls MN 56241                          ,Class II & III                        ,320-564-2121 ,320-564-4175                 ,kevinj@uppersiouxcommunity-nsn.gov                                                    ,      1000 ,     2003 ,           20000 ,                                  ,https://uniluxam.com/prairies-edge-casino/#:~:text=Wholly%20owned%20by%20the%20Upper                                                                                                                                                                                                                                                 ,  21000000
MN    ,White Earth Nation                                                                    ,3 Bears Golf Course and Berry's Liquor Store                ,31948 Cherry Lake Rd Ogema MN 56569                                   ,Class II & III                        ,218-983-3228 ,218-935-5087                 ,christie.haverkamp@whiteearth-nsn.gov                                                 ,         5 ,          ,                 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MN    ,White Earth Nation                                                                    ,City of Callaway d/b/a Callaway Liquor Store                ,406 Main Ave Callaway MN 56521                                        ,                                      ,218-375-3133 ,218-935-5087                 ,christie.haverkamp@whiteearth-nsn.gov                                                 ,        22 ,          ,                 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MN    ,White Earth Nation                                                                    ,d/b/a Wild Rice Lounge                                      ,207 SW Main Street mahnomen mn                                        ,Class II                              ,             ,218-935-2573                 ,218-935-5087                                                                          ,        12 ,     2020 ,            2100 ,                                  ,https://www.casinocity.com/minnesota/mahnomen/wild-rice-lounge/                                                                                                                                                                                                                                                                      ,          
MN    ,White Earth Nation                                                                    ,Sundown Bar                                                 ,1004 Pleasant Ave Waubun MN 56589                                     ,Class II                              ,             ,218-473-2002                 ,218-935-5087                                                                          ,        10 ,     2004 ,            1500 ,                             2020 ,https://www.fox21online.com/2019/06/27/the-sunset-bar-grill-has-new-owners/                                                                                                                                                                                                                                                          ,          
MN    ,White Earth Nation                                                                    ,Shooting Star Casino-Mahnomen                               ,777 S Casino Rd Mahnomen MN 56557                                     ,Class II & III                        ,218-935-2711 ,218-935-2206                 ,SStevens@starcasino.com                                                               ,       800 ,     1991 ,           73000 ,                             2001 ,https://www.starcasino.com                                                                                                                                                                                                                                                                                                           ,  30000000
MN    ,White Earth Nation                                                                    ,Pappy's Cafe and Pizzeria                                   ,1222 1st St Waubun MN 56589-4048                                      ,Class II                              ,             ,218-473-2700                 ,218-935-5087                                                                          ,         5 ,     2010 ,                 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MN    ,White Earth Nation                                                                    ,Pinehurst Resort and Lodge Inc.                             ,27345 Co Rd 4 Naytahwaush MN 56566                                    ,Class II                              ,             ,218-935-5745                 ,218-935-5087                                                                          ,        17 ,     1991 ,            1400 ,                                  ,https://www.casinocity.com/minnesota/naytahwaush/pinehurst-resort/                                                                                                                                                                                                                                                                   ,          
MN    ,White Earth Nation                                                                    ,Ogema Fire Department d/b/a Ogema Liquor Store              ,411 Main St E Ogema MN 56569                                          ,Class II                              ,             ,218-983-3285                 ,218-935-5087                                                                          ,        15 ,     1987 ,                 ,                                  ,https://www.manta.com/c/mmqqgrl/ogema-municipal-liquor-store                                                                                                                                                                                                                                                                         ,          
MN    ,White Earth Nation                                                                    ,McArthur's Village Store Inc.                               ,230 Shore Avenue Naytahwaush MN 56566                                 ,Class II                              ,             ,218-935-5855                 ,218-935-5087                                                                          ,         5 ,          ,                 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
MN    ,White Earth Nation                                                                    ,M&W Service of White Earth                                  ,25921 County Rd 34 Ogema MN 56569                                     ,Class II                              ,             ,218-983-3790                 ,218-935-5087                                                                          ,         4 ,     2022 ,                 ,                                  ,https://www.facebook.com/people/MW-Service/100057213679013/?sk=photos                                                                                                                                                                                                                                                                ,          
MN    ,White Earth Nation                                                                    ,Backwoods ICL LLC dba Ice Cracking Lodge                    ,30389 Co Hwy 35 Ponsford MN 56575                                     ,Class II                              ,218-573-3631 ,218-935-5087                 ,christie.haverkamp@whiteearth-nsn.gov                                                 ,        22 ,     2009 ,                 ,                                  ,https://icecracking.com/gallery#prettyPhoto https://www.dl-online.com/business/ice-cracking-lodge-expands                                                                                                                                                                                                                            ,          
